AuthorId,AuthorName,Gender,Hometown
14980615,Chip Gaines,female,"Albuquerque, New Mexico"
33280,Dav Pilkey,,"Cleveland, OH"
61105,Dr. Seuss,male,"Springfield, MA"
3362,Eric Carle,male,"Syracuse, New York"
4880403,Emily Winfield Martin,female,
217195,Sarah  Young,female,
5086768,Bill Martin Jr.,male,
59483,Nintendo,,Kyoto
6906496,Brandon Stanton,,
7064519,Nathan W. Pyle,,
1077326,J.K. Rowling,female,"Yate, South Gloucestershire, England"
5725556,Lin-Manuel Miranda,male,"Manhattan, New York City, New York"
4454736,Sherri Duskey Rinker,female,"Chicago, IL"
17835618,Jill Twiss,,"Redmond, Oregon"
19794,Rush Limbaugh,male,"Cape Girardeau, Missouri"
191218,Alice Schertle,female,"Los Angeles, California"
141487,Pete Souza,male,
311467,Mark R. Levin,male,"Philadelphia, PA"
221559,Jeff Kinney,male,"Andrews Air Force Base, Maryland"
27281,Bill O'Reilly,,"Manhasset, New York"
17129144,Adir Levy,,
118821,School Zone,,
1124,Anthony Bourdain,male,"New York City, New York"
18479,Margaret Wise Brown,female,"Pomfret, Connecticut"
6561846,Drew Daywalt,male,
14031444,Paul Kalanithi,male,"Westchester, New York"
7043934,Delia Owens,,
17595,Adam Mansbach,,
15401886,Samin Nosrat,,
18672942,Delegates of the Constitutional Convention,,
6785,Giles Andreae,male,"London, England"
23793,Golden Books,,
3161,Sandra Boynton,female,"Orange, New Jersey"
15049422,Angie Thomas,female,"Jackson, MS"
6185262,Phil Robertson,,"Vivian, Louisiana"
21618,Raina Telgemeier,female,San Francisco
4859212,R.J. Palacio,female,
4161881,Crispin Boyer,,
8305468,National Geographic Kids,,Washington D.C.
61792,Lysa TerKeurst,female,
622,Gary Chapman,male,
138426,W. Cleon Skousen,,"Raymond, Alberta"
142845,Ann Whitford Paul,female,
17348719,Hopscotch Girls,,
15872,Rick Riordan,male,"San Antonio, Texas"
4489,Maurice Sendak,male,"Brooklyn, New York"
20376761,Bessel van der Kolk MD,,
14980616,Joanna Gaines,female,Kansas
7115158,B.J. Novak,male,
486329,Daniel James Brown,male,
2331,Mitch Albom,,"Passaic, New Jersey"
159300,Tucker Carlson,male,"San Francisco, California"
1943477,Kathryn Stockett,female,"Jackson, Mississippi"
216562,Rod Campbell,male,
3465,Julia Child,female,"Pasadena, California"
821537,Deborah Diesen,female,
6252,Robert Jordan,male,"Charleston, South Carolina"
2658,Ina Garten,female,"Brooklyn, New York"
1825,Harper Lee,female,"Monroeville, Alabama"
2338628,Michelle Obama,,"Chicago, Illinois"
1093919,Marjorie Sarnat,,
3078,Atul Gawande,male,"Brooklyn, New York"
19722899,Craig           Smith,male,Clyde
17977069,David Goggins,male,
2884275,Ree Drummond,female,
30913,Laura Hillenbrand,female,"Fairfax, Virginia"
69521,Stephen Kendrick,,
9950,Ron Chernow,male,"Brooklyn, New York City"
6039100,Robert Munsch,male,"Pittsburgh, Pennsylvania"
20547957,Wizards RPG Team,,
153394,Suzanne Collins,female,"Hartford, Connecticut"
3961,Alan Moore,,"Northampton, England"
4129841,Amy Shields,,
17851120,Silly Bear,,
54493,Kristin Hannah,female,Southern California
140780,Naomi Kleinberg,,
3406353,Justin Halpern,male,
17061,Charlaine Harris,,"Tunica, Mississippi"
846687,David Platt,,
14155682,Johanna Basford,female,
5609118,Scholastic Inc.,,
39914,J.J. Smith,female,Fredericksburg
1538,Stephen R. Covey,male,"Salt Lake City, Utah"
2940640,Rebecca Skloot,female,
287960,Randy Pausch,male,
6540057,Andy Weir,male,
8075577,Rupi Kaur,female,
44526,Dave Ramsey,male,"Antioch, Tennessee"
941441,Stephenie Meyer,female,Connecticut
4032085,Dinah Bucholz,,
6281688,David McCullough,male,Pittsburgh
300181,Charles Krauthammer,,"Manhatten, New York City, New York"
3089156,Randall Munroe,male,"Easton, Pennsylvania"
69641,Jen Sincero,female,
1194527,Mary Ann Shaffer,female,"Martinsburg, West Virginia"
1406384,John Green,,Indianapolis
566,Paulo Coelho,male,Rio de Janeiro
194531,Garth Stein,male,
776,Michael   Lewis,male,"New Orleans, Louisiana"
9941,Bill Simmons,male,
3373474,T. Colin Campbell,male,
1049,Elie Wiesel,,Sighet
19738156,Don Miguel Ruiz,,
706255,Stieg Larsson,male,Skelleftehamn
1362751,Francis Chan,male,
12855,Neil deGrasse Tyson,,"New York, New York"
3317,Dale Carnegie,male,"Maryville, Missouri"
14184445,Chrissy Teigen,female,"Delta, Utah"
3446736,Todd Burpo,male,
236007,Bruce Springsteen,male,"Long Branch, New Jersey"
1214964,Ta-Nehisi Coates,male,Baltimore
3389,Stephen King,male,"Portland, Maine"
17789724,James Comey,male,
16121977,Tara Westover,,
4536964,Amor Towles,female,Boston
346732,George R.R. Martin,male,"Bayonne, New Jersey"
6984726,Allie Brosh,,
3706,George Orwell,male,"Motihari, Bihar"
3164,Roger Priddy,male,
20567865,Admiral William H. McRaven,,
20280970,RH Disney,,
282885,Jordan B. Peterson,male,"Fairview, Alberta"
3064249,Tony Hsieh,male,
3780,James Patterson,male,"Newburgh, New York"
8529755,Mark Manson,male,Austin
14717347,M. Prefontaine,,
93353,Abraham   Verghese,,Adis Ababa
13747,George W. Bush,male,"New Haven, Connecticut"
11466,Markus Zusak,male,Sydney
17945766,"David, M.D. Perlmutter",,
47449,Edward Klein,male,Yonkers
4039811,Veronica Roth,female,
1630,Ray Bradbury,male,"Waukegan, Illinois"
5202174,Jonathan Cahn,male,New Jersey
1274669,Mark Owen,,
1790133,The Washington Post,,
4102094,Marty Noble,female,
273823,Brian Kilmeade,male,
7578129,Rachel Hollis,female,"Bakersfield, CA"
4460,Zhi Gang Sha,,
188932,Glenn Beck,male,"Mount Vernon, Washington"
5201530,Charles Duhigg,male,
2040815,Sarah Palin,female,"Sandpoint, Idaho"
19996754,F. A. Hayek,,
11503,Patrick Lencioni,,
18167894,Pretty Simple Press,,
15481463,William Paul Young,,"Grande Prairie, Alberta"
19331949,Melissa Hartwig Urban,,
4020742,Rob Elliott,male,
31712,Ernest Cline,male,"Ashland, Ohio"
7580975,Angie Grace,,
4101935,Susan Cain,female,
17096652,D.K. Hood,,
2728589,Chris Kyle,male,"Odessa, Texas"
28186,Anthony Doerr,male,"Cleveland, Ohio"
2778471,Hillary Rodham Clinton,female,"Chicago, Illinois"
14226459,Blue Star Coloring,,
206062,Steve  Harvey,male,"Welch, West Virginia"
4842866,Jaycee Dugard,female,"Anaheim, California"
16717801,The Staff of the Late Show with Stephen Colbert,,
100789,Larry Schweikart,male,"Mesa, Arizona"
1439,Malcolm Gladwell,male,"London, England"
157146,Christina Baker Kline,female,Cambridge
6485178,Fredrik Backman,,Stockholm
1890390,Ann Voskamp,female,
217172,Carol S. Dweck,female,"Brooklyn, New York"
305400,Tatiana de Rosnay,female,Neuilly sur Seine
7811273,Thug Kitchen,,
8349,Christopher Paolini,male,Southern California
1431785,David Grann,male,New York City
16959062,Sasha O'Hara,,
39021,Chip Heath,male,
72401,Daniel Kahneman,male,Tel Aviv
210456,Timothy Ferriss,male,"East Hampton, NY"
7111,Walter Isaacson,male,"New Orleans, Louisiana"
795282,Thomas Piketty,male,Clichy
591748,Edward M. Kennedy,male,"Boston, Massachusetts"
5589647,Marie Kondō,,
17621440,Alex Michaelides,male,
3447,Ken Follett,,Cardiff
18216440,Coloring Books for Adults,,
18738769,"Joel Fuhrman, M.D.",,
348878,James Dashner,male,
95742,American Psychiatric Association,,
106,Madeleine L'Engle,female,"New York City, New York"
2484,David Zinczenko,male,
569269,Jay Asher,male,"Arcadia, California"
14774948,Adult Coloring Book Designs,,
3041,Jon Meacham,male,"Chattanooga, Tennessee"
24556,Sara Gruen,female,Vancouver
20725472,"Dr. Steven R. Gundry, MD",,
96150,Daniel H. Pink,male,
26688,American Psychological Association,,
5333595,Sheryl Sandberg,female,"Washington, D.C."
4365,Peter A. Lillback,male,
164692,Celeste Ng,female,
45539,Keith Richards,male,"Dartford, Kent, England"
721,John Grisham,male,"Jonesboro, Arkansas"
798,Steven D. Levitt,male,
145416,James E. Lovelock,male,
498072,Audrey Niffenegger,female,
3190,F. Scott Fitzgerald,male,"St. Paul, Minnesota"
15109469,J.D. Vance,male,"Middletown, Ohio"
1475621,Eric Larson,,
805184,Jennifer E. Smith,female,"Chicago, IL"
3519313,Doug Lemov,male,
17352910,Paper Peony Press,,
466,Jon   Stewart,male,"New York, New York"
13695,The College Board,,
15441,Bob Woodward,male,"Geneva, Illinois"
241540,Daniel Lipkowitz,,
2121,Michael Pollan,,"Long Island, New York"
17273956,Adam Gasiewski,,Philadelphia
23497,John Heilemann,male,
53,Heidi Murkoff,female,
155717,Cheryl Strayed,female,
7126313,William  Davis,male,
4385839,Tina Fey,female,"Upper Darby, Pennsylvania"
7046622,Eben Alexander,male,Charlotte
569,Khaled Hosseini,male,Kabul
27837,Greg Mortenson,male,"Minnesota in 1957, but grew up in Tanzania 1958-1972"
630,Dan Brown,male,"Exeter, New Hampshire"
15034312,Laurel Randolph,,
7523337,Amy Ramos,,
290189,Paula McLain,female,"Fresno, California"
634694,Kevin Kwan,male,Singapore
8222,Howard Stern,male,"Jackson Heights, New York"
295178,Gayle Forman,female,
4532247,Mike Moreno,,
3472,Margaret Atwood,female,"Ottawa, Ontario"
5344,Rob Bell,male,
3370,Geneen Roth,female,
1244,Mark Twain,male,"Florida, Missouri"
20023558,Dr. Mark Hyman MD,,
97313,Elizabeth Strout,female,"Portland, Maine"
188983,Michael Wolff,male,"Paterson, New Jersey"
1063732,Paula Hawkins,female,
374590,Chris Cleave,male,London
187544,Pierre Dukan,male,
19157082,Ian K. Smith M.D.,,
2383,Gillian Flynn,female,"Kansas City, MO"
3309823,Stephen Gallup,male,"Louisville, KY"
643126,Muriel Barbery,,Casablanca
8719,Donna Tartt,female,"Greenwood, Mississippi"
